url,label_asli,prediksi,confidence,status
https://www.abcam.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,77.47,BENAR
https://www.keycurriculum.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,100.0,BENAR
http://mega111-online.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,98.0,BENAR
https://www.phadebas.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,76.19,BENAR
http://uglousea.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,70.82,BENAR
https://lovinglifeover50.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,90.98,BENAR
https://risingline.com/,BUKAN JUDI,TERINDIKASI JUDI ONLINE,76.1,SALAH
https://jpnesia33.ink/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,100.0,BENAR
https://www.taleworlds.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,75.62,BENAR
https://pmb.sainttheresa.ac.id/plugin/?sih=trans4d,JUDI ONLINE,TERINDIKASI JUDI ONLINE,90.33,BENAR
https://pathfinderbuzz.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,79.64,BENAR
https://www.ricoh.ie/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,99.5,BENAR
https://www.bookpunks.com/,JUDI ONLINE,TIDAK TERINDIKASI JUDI ONLINE,76.57,SALAH
https://rapitogel.org/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,100.0,BENAR
https://main.smkn2kediri.sch.id/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,87.0,BENAR
https://rajas.sman1wanaraya.sch.id/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,88.5,BENAR
http://www.unitechelectronics.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,100.0,BENAR
https://ltc.ru/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,99.6,BENAR
https://txcharterschools.org/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,73.3,BENAR
https://www.tek-tips.com/threadminder.cfm?pid=1177,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,89.0,BENAR
https://cloud.eeonline.org/pafiwatampone.org/,JUDI ONLINE,TIDAK TERINDIKASI JUDI ONLINE,66.0,SALAH
https://www.acountforcheckads.xyz/,JUDI ONLINE,TIDAK TERINDIKASI JUDI ONLINE,74.8,SALAH
https://tmtv.net/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,99.27,BENAR
https://cryogel.com/,BUKAN JUDI,TERINDIKASI JUDI ONLINE,54.0,SALAH
https://caprialbum.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,76.1,BENAR
https://workingsolutions.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,73.3,BENAR
https://hsfservice.net/advertise-here,JUDI ONLINE,TERINDIKASI JUDI ONLINE,79.0,BENAR
http://www.gcaviation.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,99.35,BENAR
https://www.heartshomebrew.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,100.0,BENAR
http://tisasusaguns.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,96.57,BENAR
https://spectraquest.com/,BUKAN JUDI,TERINDIKASI JUDI ONLINE,68.17,SALAH
https://indovegas99daftar.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,95.38,BENAR
https://www.nixsolutions.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,100.0,BENAR
https://mpmwinc.cfd/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,54.0,BENAR
https://www.cosmic.org.uk/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,100.0,BENAR
https://ultraoptica.com.adamsmillerlaw.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,97.83,BENAR
https://mikigaming.vip/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,100.0,BENAR
https://www.sentinel-laboratories.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,83.0,BENAR
https://togel125.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,100.0,BENAR
https://vin777.quest/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,100.0,BENAR
https://www.scotforge.com/,BUKAN JUDI,TIDAK TERINDIKASI JUDI ONLINE,76.57,BENAR
https://rlorimer.com.pemain86slot.com/,JUDI ONLINE,TERINDIKASI JUDI ONLINE,100.0,BENAR
https://withinreachsupplychain.com/wp-active/?daftar=kenzo168-rtp,JUDI ONLINE,TERINDIKASI JUDI ONLINE,98.0,BENAR
https://capcut.or.id/,JUDI ONLINE,TIDAK TERINDIKASI JUDI ONLINE,99.5,SALAH
